编号,色名,HEX,H,S,L,色相分类,冷暖属性,同类色,邻近色,互补色,分裂互补,三角色,四角色,冷暖对照,明色搭配,暗色搭配,灰调搭配,中性色搭配,主色,辅色,点缀色,主辅点缀方案,算法说明
001,乳白,#F9F4DC,50,71,92,黄色系,暖,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3 | 099-落英淡粉 #F9E8D0,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 171-藕荷 #EDC3AE | 497-嫩菊绿 #F0F5E5,691-云峰灰 #C1C8D6 | 353-淡蓝紫 #A7A8BD | 576-绀青 #4F84FF,588-雾绡 #CDE8F9 | 597-霜华 #D0E7F9 | 602-霜色 #E8F4F8 | 368-远天蓝 #D0DFE6,600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 313-淡牵牛紫 #D1C2D3 | 546-月华 #E0FFFF,705-松花绿 #A0D6B4 | 424-月白 #EEF7F2 | 540-梅子青 #7BC092 | 610-藕丝 #D8B0C8,597-霜华 #D0E7F9 | 588-雾绡 #CDE8F9 | 602-霜色 #E8F4F8,053-蚌肉白 #F9F1DB | 682-奶油白 #FFF8E7 | 098-粉白 #FBF2E3,038-芒果黄 #DDC871 | 039-蒿黄 #DFC243 | 003-茉莉黄 #F8DF72,350-银白 #F1F0ED | 519-珍珠灰 #E4DFD7 | 707-白色 #F8F8F8,350-银白 #F1F0ED | 550-霜白 #F2F3F4 | 351-芡食白 #E2E1E4,001-乳白 #F9F4DC,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3,576-绀青 #4F84FF | 597-霜华 #D0E7F9,主色：001-乳白 #F9F4DC；辅色：053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3；点缀色：576-绀青 #4F84FF | 597-霜华 #D0E7F9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
002,杏仁黄,#F7E8AA,48,83,82,黄色系,暖,611-奶黄色 #F9E4A5 | 012-酪黄 #F6DEAD | 078-淡肉色 #F8E0B0,119-润红 #F7CDBC | 186-淡藏花红 #F6AD8F | 185-介壳淡粉红 #F7CFBA | 171-藕荷 #EDC3AE,576-绀青 #4F84FF | 691-云峰灰 #C1C8D6 | 545-苍碧 #2A52BE,561-雪青 #B0D8E8 | 562-云蓝 #87CEEB | 710-浅蓝 #B0D4E3 | 588-雾绡 #CDE8F9,667-浅薄荷绿 #B2F0D9 | 600-天水碧 #AED9D4 | 441-蓝绿 #12A182 | 680-凝脂莲青 #C6E3E1,477-明绿 #9ECCAB | 698-新绿 #6CC788 | 705-松花绿 #A0D6B4 | 540-梅子青 #7BC092,588-雾绡 #CDE8F9 | 597-霜华 #D0E7F9 | 561-雪青 #B0D8E8,394-海参灰 #FFFEFA | 517-雪白 #FFFEF9 | 515-象牙白 #FFFEF8,035-秋葵黄 #EED045 | 036-硫华黄 #F2CE2B | 039-蒿黄 #DFC243,356-玛瑙灰 #CFCCC9 | 520-浅灰 #DAD4CB | 519-珍珠灰 #E4DFD7,390-银鱼白 #CDD1D3 | 352-远山紫 #CCCCD6 | 411-鸥蓝 #C7D2D4,002-杏仁黄 #F7E8AA,078-淡肉色 #F8E0B0 | 012-酪黄 #F6DEAD,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：002-杏仁黄 #F7E8AA；辅色：078-淡肉色 #F8E0B0 | 012-酪黄 #F6DEAD；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
003,茉莉黄,#F8DF72,49,91,71,黄色系,暖,004-麦秆黄 #F8DF70 | 008-葵扇黄 #F8D86A | 055-淡茧黄 #F9D770,169-野蔷薇红 #FB9968 | 187-瓜瓤红 #F68C60 | 186-淡藏花红 #F6AD8F | 125-晨曦红 #EA8958,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 353-淡蓝紫 #A7A8BD,562-云蓝 #87CEEB | 375-秋波蓝 #8ABCD1 | 634-长春花蓝 #7EC0EE | 710-浅蓝 #B0D4E3,600-天水碧 #AED9D4 | 441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C,477-明绿 #9ECCAB | 698-新绿 #6CC788 | 705-松花绿 #A0D6B4 | 540-梅子青 #7BC092,634-长春花蓝 #7EC0EE | 562-云蓝 #87CEEB | 585-滢蓝 #8EC4E9,001-乳白 #F9F4DC | 394-海参灰 #FFFEFA | 517-雪白 #FFFEF9,041-香蕉黄 #E4BF11 | 037-柚黄 #F1CA17 | 043-新禾绿 #D2B116,521-铅灰 #BBB5AC | 141-淡银灰 #C1B2A3 | 328-芦穗灰 #BDAEAD,328-芦穗灰 #BDAEAD | 521-铅灰 #BBB5AC | 414-星灰 #B2BBBE,003-茉莉黄 #F8DF72,004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：003-茉莉黄 #F8DF72；辅色：004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
004,麦秆黄,#F8DF70,49,91,71,黄色系,暖,003-茉莉黄 #F8DF72 | 008-葵扇黄 #F8D86A | 055-淡茧黄 #F9D770,169-野蔷薇红 #FB9968 | 187-瓜瓤红 #F68C60 | 186-淡藏花红 #F6AD8F | 125-晨曦红 #EA8958,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 353-淡蓝紫 #A7A8BD,562-云蓝 #87CEEB | 375-秋波蓝 #8ABCD1 | 634-长春花蓝 #7EC0EE | 710-浅蓝 #B0D4E3,600-天水碧 #AED9D4 | 441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C,477-明绿 #9ECCAB | 698-新绿 #6CC788 | 705-松花绿 #A0D6B4 | 540-梅子青 #7BC092,634-长春花蓝 #7EC0EE | 562-云蓝 #87CEEB | 585-滢蓝 #8EC4E9,001-乳白 #F9F4DC | 394-海参灰 #FFFEFA | 517-雪白 #FFFEF9,041-香蕉黄 #E4BF11 | 037-柚黄 #F1CA17 | 043-新禾绿 #D2B116,521-铅灰 #BBB5AC | 141-淡银灰 #C1B2A3 | 328-芦穗灰 #BDAEAD,328-芦穗灰 #BDAEAD | 521-铅灰 #BBB5AC | 414-星灰 #B2BBBE,004-麦秆黄 #F8DF70,003-茉莉黄 #F8DF72 | 055-淡茧黄 #F9D770,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：004-麦秆黄 #F8DF70；辅色：003-茉莉黄 #F8DF72 | 055-淡茧黄 #F9D770；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
005,油菜花黄,#FBDA41,49,96,62,黄色系,暖,009-柠檬黄 #FCD337 | 015-大豆黄 #FBCD31 | 036-硫华黄 #F2CE2B,188-芙蓉红 #F9723D | 170-菠萝红 #FC7930 | 169-野蔷薇红 #FB9968 | 187-瓜瓤红 #F68C60,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 353-淡蓝紫 #A7A8BD,376-涧石蓝 #66A9C9 | 562-云蓝 #87CEEB | 375-秋波蓝 #8ABCD1 | 410-釉蓝 #1781B5,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C | 572-霜青 #7CB9A8,698-新绿 #6CC788 | 540-梅子青 #7BC092 | 315-萝兰紫 #C08EAF | 576-绀青 #4F84FF,576-绀青 #4F84FF | 634-长春花蓝 #7EC0EE | 599-天青 #6C9BCA,002-杏仁黄 #F7E8AA | 611-奶黄色 #F9E4A5 | 054-豆汁黄 #F8E8C1,672-金棕 #B8860B | 069-枯绿 #B78D12 | 043-新禾绿 #D2B116,522-中灰 #A49C93 | 044-月灰 #B7AE8F | 087-百灵鸟灰 #B4A992,465-镍灰 #9FA39A | 522-中灰 #A49C93 | 690-高级灰 #9C9CA4,005-油菜花黄 #FBDA41,009-柠檬黄 #FCD337 | 015-大豆黄 #FBCD31,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：005-油菜花黄 #FBDA41；辅色：009-柠檬黄 #FCD337 | 015-大豆黄 #FBCD31；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
006,佛手黄,#FED71A,50,99,55,黄色系,暖,010-金瓜黄 #FCD217 | 011-藤黄 #FFD111 | 653-明黄 #FFD700,154-燕颔红 #FC6315 | 127-金莲花橙 #F86B1D | 170-菠萝红 #FC7930 | 189-莓酱红 #FA5D19,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 354-山梗紫 #61649F,410-釉蓝 #1781B5 | 376-涧石蓝 #66A9C9 | 381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0,441-蓝绿 #12A182 | 434-美蝶绿 #12AA9C | 440-竹绿 #1BA784 | 573-烟萦紫 #8A4B9C,540-梅子青 #7BC092 | 698-新绿 #6CC788 | 337-豆蔻紫 #AD6598 | 315-萝兰紫 #C08EAF,576-绀青 #4F84FF | 625-蓝色 #4A8DDA | 592-瑶碧 #4B9CD3,003-茉莉黄 #F8DF72 | 004-麦秆黄 #F8DF70 | 007-篾黄 #F7DE98,048-碧螺春绿 #867018 | 072-灰绿 #8A6913 | 672-金棕 #B8860B,145-海鸥灰 #9A8878 | 631-银褐 #A88A6F | 706-灰色 #8A8A8A,466-明灰 #8A988E | 706-灰色 #8A8A8A | 144-银灰 #918072,006-佛手黄 #FED71A,010-金瓜黄 #FCD217 | 011-藤黄 #FFD111,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：006-佛手黄 #FED71A；辅色：010-金瓜黄 #FCD217 | 011-藤黄 #FFD111；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
007,篾黄,#F7DE98,44,86,78,橙色系,暖,013-香水玫瑰黄 #F7DA94 | 611-奶黄色 #F9E4A5 | 058-象牙黄 #F0D695,186-淡藏花红 #F6AD8F | 199-洋水仙红 #F4C7BA | 120-淡桃红 #F6CEC1 | 124-淡罂粟红 #EEA08C,576-绀青 #4F84FF | 691-云峰灰 #C1C8D6 | 545-苍碧 #2A52BE,374-湖水蓝 #B0D5DF | 562-云蓝 #87CEEB | 561-雪青 #B0D8E8 | 676-紫藤萝 #9B8AE8,667-浅薄荷绿 #B2F0D9 | 630-竹月 #BCE5D6 | 572-霜青 #7CB9A8 | 440-竹绿 #1BA784,576-绀青 #4F84FF | 477-明绿 #9ECCAB | 691-云峰灰 #C1C8D6 | 698-新绿 #6CC788,579-缥色 #A8C9E4 | 585-滢蓝 #8EC4E9 | 588-雾绡 #CDE8F9,394-海参灰 #FFFEFA | 682-奶油白 #FFF8E7 | 053-蚌肉白 #F9F1DB,061-木瓜黄 #F9C116 | 065-栀子黄 #EBB10D | 085-虎皮黄 #EAAD1A,356-玛瑙灰 #CFCCC9 | 644-素积 #D2C8BC | 646-素鞸 #D6C9B8,356-玛瑙灰 #CFCCC9 | 400-大理石灰 #C4CBCF | 413-月影白 #C0C4C3,007-篾黄 #F7DE98,013-香水玫瑰黄 #F7DA94 | 611-奶黄色 #F9E4A5,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：007-篾黄 #F7DE98；辅色：013-香水玫瑰黄 #F7DA94 | 611-奶黄色 #F9E4A5；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
008,葵扇黄,#F8D86A,46,91,69,黄色系,暖,014-淡密黄 #F9D367 | 055-淡茧黄 #F9D770 | 004-麦秆黄 #F8DF70,187-瓜瓤红 #F68C60 | 186-淡藏花红 #F6AD8F | 190-法螺红 #EE8055 | 188-芙蓉红 #F9723D,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 691-云峰灰 #C1C8D6,562-云蓝 #87CEEB | 561-雪青 #B0D8E8 | 375-秋波蓝 #8ABCD1 | 570-湖蓝 #66B7D0,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 572-霜青 #7CB9A8 | 667-浅薄荷绿 #B2F0D9,477-明绿 #9ECCAB | 576-绀青 #4F84FF | 698-新绿 #6CC788 | 540-梅子青 #7BC092,634-长春花蓝 #7EC0EE | 576-绀青 #4F84FF | 562-云蓝 #87CEEB,053-蚌肉白 #F9F1DB | 682-奶油白 #FFF8E7 | 611-奶黄色 #F9E4A5,066-芥黄 #D9A40E | 064-谷黄 #E8B004 | 065-栀子黄 #EBB10D,521-铅灰 #BBB5AC | 141-淡银灰 #C1B2A3 | 087-百灵鸟灰 #B4A992,521-铅灰 #BBB5AC | 655-暖灰 #B7A8A5 | 328-芦穗灰 #BDAEAD,008-葵扇黄 #F8D86A,014-淡密黄 #F9D367 | 004-麦秆黄 #F8DF70,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：008-葵扇黄 #F8D86A；辅色：014-淡密黄 #F9D367 | 004-麦秆黄 #F8DF70；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
009,柠檬黄,#FCD337,48,97,60,黄色系,暖,015-大豆黄 #FBCD31 | 005-油菜花黄 #FBDA41 | 018-雅梨黄 #FBC82F,188-芙蓉红 #F9723D | 189-莓酱红 #FA5D19 | 187-瓜瓤红 #F68C60 | 170-菠萝红 #FC7930,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 625-蓝色 #4A8DDA,562-云蓝 #87CEEB | 376-涧石蓝 #66A9C9 | 375-秋波蓝 #8ABCD1 | 386-鸢尾蓝 #158BB8,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 572-霜青 #7CB9A8 | 434-美蝶绿 #12AA9C,698-新绿 #6CC788 | 540-梅子青 #7BC092 | 576-绀青 #4F84FF | 337-豆蔻紫 #AD6598,576-绀青 #4F84FF | 625-蓝色 #4A8DDA | 379-霁青 #63BBD0,002-杏仁黄 #F7E8AA | 611-奶黄色 #F9E4A5 | 007-篾黄 #F7DE98,672-金棕 #B8860B | 069-枯绿 #B78D12 | 064-谷黄 #E8B004,522-中灰 #A49C93 | 068-尘灰 #B6A476 | 044-月灰 #B7AE8F,522-中灰 #A49C93 | 465-镍灰 #9FA39A | 466-明灰 #8A988E,009-柠檬黄 #FCD337,015-大豆黄 #FBCD31 | 005-油菜花黄 #FBDA41,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：009-柠檬黄 #FCD337；辅色：015-大豆黄 #FBCD31 | 005-油菜花黄 #FBDA41；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
010,金瓜黄,#FCD217,49,97,54,黄色系,暖,011-藤黄 #FFD111 | 006-佛手黄 #FED71A | 016-素馨黄 #FCCB16,154-燕颔红 #FC6315 | 189-莓酱红 #FA5D19 | 127-金莲花橙 #F86B1D | 170-菠萝红 #FC7930,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 354-山梗紫 #61649F,376-涧石蓝 #66A9C9 | 410-釉蓝 #1781B5 | 386-鸢尾蓝 #158BB8 | 409-云山蓝 #2F90B9,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C | 573-烟萦紫 #8A4B9C,698-新绿 #6CC788 | 540-梅子青 #7BC092 | 337-豆蔻紫 #AD6598 | 486-松霜绿 #83A78D,625-蓝色 #4A8DDA | 576-绀青 #4F84FF | 592-瑶碧 #4B9CD3,003-茉莉黄 #F8DF72 | 004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770,048-碧螺春绿 #867018 | 072-灰绿 #8A6913 | 672-金棕 #B8860B,145-海鸥灰 #9A8878 | 706-灰色 #8A8A8A | 110-猴毛灰 #97846C,706-灰色 #8A8A8A | 144-银灰 #918072 | 466-明灰 #8A988E,010-金瓜黄 #FCD217,016-素馨黄 #FCCB16 | 006-佛手黄 #FED71A,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：010-金瓜黄 #FCD217；辅色：016-素馨黄 #FCCB16 | 006-佛手黄 #FED71A；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
011,藤黄,#FFD111,48,100,53,黄色系,暖,017-向日葵黄 #FECC11 | 010-金瓜黄 #FCD217 | 016-素馨黄 #FCCB16,189-莓酱红 #FA5D19 | 154-燕颔红 #FC6315 | 129-龙睛鱼红 #EF632B | 188-芙蓉红 #F9723D,576-绀青 #4F84FF | 545-苍碧 #2A52BE | 354-山梗紫 #61649F,386-鸢尾蓝 #158BB8 | 409-云山蓝 #2F90B9 | 410-釉蓝 #1781B5 | 385-钴蓝 #1A94BC,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C | 573-烟萦紫 #8A4B9C,698-新绿 #6CC788 | 337-豆蔻紫 #AD6598 | 576-绀青 #4F84FF | 540-梅子青 #7BC092,576-绀青 #4F84FF | 625-蓝色 #4A8DDA | 592-瑶碧 #4B9CD3,003-茉莉黄 #F8DF72 | 004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770,048-碧螺春绿 #867018 | 072-灰绿 #8A6913 | 672-金棕 #B8860B,145-海鸥灰 #9A8878 | 110-猴毛灰 #97846C | 523-瓦灰 #867E76,144-银灰 #918072 | 706-灰色 #8A8A8A | 489-瓦松绿 #6E8B74,011-藤黄 #FFD111,017-向日葵黄 #FECC11 | 010-金瓜黄 #FCD217,545-苍碧 #2A52BE | 576-绀青 #4F84FF,主色：011-藤黄 #FFD111；辅色：017-向日葵黄 #FECC11 | 010-金瓜黄 #FCD217；点缀色：545-苍碧 #2A52BE | 576-绀青 #4F84FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
